,DATE,GDPC1,AWHI,Z,Z(t-1),T
113,01/04/96,9.306124712076018,4.535462773599011,6.282482863010011,6.274574802048244,114
114,01/07/96,9.315054828983055,4.545066261953784,6.285010654347198,6.282482863010011,115
115,01/10/96,9.325385262331896,4.552823705615882,6.290169458587974,6.285010654347198,116
116,01/01/97,9.331820121912406,4.559824084256094,6.29193739907501,6.290169458587974,117
117,01/04/97,9.34830330580107,4.570233616141714,6.301480895039927,6.29193739907501,118
118,01/07/97,9.360733515383039,4.578826210648489,6.308182708284047,6.301480895039927,119
119,01/10/97,9.36928428872428,4.586666714457488,6.311506479085955,6.308182708284047,120
120,01/01/98,9.379228435410182,4.591409270704259,6.318288921607343,6.311506479085955,121
121,01/04/98,9.38844404599581,4.594783093135286,6.325255317238953,6.318288921607343,122
122,01/07/98,9.400893869845504,4.599822579695008,6.334345483382165,6.325255317238953,123
123,01/10/98,9.416926563612234,4.607500800993816,6.34525936294969,6.334345483382165,124
124,01/01/99,9.426320567611551,4.610489347134126,6.352661002855467,6.34525936294969,125
125,01/04/99,9.434635899510925,4.616110126026426,6.357229148826641,6.352661002855467,126
126,01/07/99,9.447779414109446,4.622355010414538,6.366209407166421,6.357229148826641,127
127,01/10/99,9.464073727846932,4.631162765937564,6.376631883888557,6.366209407166421,128
128,01/01/00,9.46771157645587,4.636668853047462,6.376599007757561,6.376631883888557,129
129,01/04/00,9.485753664798251,4.639571612705423,6.392705922994636,6.376599007757561,130
130,01/07/00,9.486750908667844,4.640215528052746,6.3932738899660135,6.392705922994636,131
131,01/10/00,9.492676932603196,4.63989362172452,6.399414518120183,6.3932738899660135,132
132,01/01/01,9.489429455219694,4.637960008488501,6.39745611622736,6.399414518120183,133
133,01/04/01,9.495624120747523,4.630512993984878,6.408615458090939,6.39745611622736,134
134,01/07/01,9.49161259516663,4.622355010414538,6.410042588223606,6.408615458090939,135
135,01/10/01,9.494381900682964,4.61015772749913,6.420943415683544,6.410042588223606,136
136,01/01/02,9.502630063031164,4.6084979757485405,6.4302980791988045,6.420943415683544,137
137,01/04/02,9.508766222794621,4.607500800993816,6.437099022132077,6.4302980791988045,138
138,01/07/02,9.5127933899007,4.6035021288540054,6.443791970664697,6.437099022132077,139
139,01/10/02,9.51409909476756,4.600827436587433,6.446880803709273,6.443791970664697,140
140,01/01/03,9.519253022305499,4.594109238628667,6.456513529886388,6.446880803709273,141
141,01/04/03,9.528147130216528,4.589040804058207,6.468786594177724,6.456513529886388,142
142,01/07/03,9.544678690555788,4.5897180814630225,6.484866636247107,6.468786594177724,143
143,01/10/03,9.556153064688727,4.594109238628667,6.493413572269617,6.484866636247107,144
144,01/01/04,9.561865880299733,4.598145571051127,6.496435499598982,6.493413572269617,145
145,01/04/04,9.569623102681346,4.604836797120198,6.499731904601214,6.496435499598982,146
146,01/07/04,9.578991553628297,4.61015772749913,6.505553068628878,6.499731904601214,147
147,01/10/04,9.589159953464796,4.618086411254637,6.510435679295037,6.505553068628878,148
148,01/01/05,9.600207528735933,4.621699488267171,6.519074536557818,6.510435679295037,149
149,01/04/05,9.605061772591148,4.629537542761695,6.5187034107500175,6.519074536557818,150
150,01/07/05,9.612887292981801,4.636345803779643,6.521990090462039,6.5187034107500175,151
151,01/10/05,9.618550509042606,4.644070335266264,6.522503618865097,6.521990090462039,152
152,01/01/06,9.631947034740143,4.653007515402251,6.529942024471977,6.522503618865097,153
153,01/04/06,9.63439986140538,4.660604892876192,6.527329932821251,6.529942024471977,154
154,01/07/06,9.635903292567262,4.662809965119843,6.5273633158207005,6.527329932821251,155
155,01/10/06,9.644305015999738,4.667205576907544,6.532834631394708,6.5273633158207005,156
156,01/01/07,9.647236703008948,4.67064576825921,6.533472857502808,6.532834631394708,157
157,01/04/07,9.653600754705748,4.675628649636653,6.536514988281313,6.533472857502808,158
158,01/07/07,9.659605755120937,4.676870499843012,6.541692088558929,6.536514988281313,159
159,01/10/07,9.665683687041124,4.679349584162343,6.5461172975995625,6.541692088558929,160
160,01/01/08,9.661601069749734,4.677800876713017,6.543067151941056,6.5461172975995625,161
161,01/04/08,9.66730770931016,4.671893818030999,6.552711830622828,6.543067151941056,162
162,01/07/08,9.662024850530004,4.663439094112067,6.553065454455293,6.552711830622828,163
163,01/10/08,9.63995205744575,4.642144789100686,6.54518886471196,6.553065454455293,164
164,01/01/09,9.628226353991014,4.614790429695224,6.5516994008608656,6.54518886471196,165
165,01/04/09,9.6265325389092,4.591747165689735,6.56536776178271,6.5516994008608656,166
166,01/07/09,9.630145304911672,4.586327098152644,6.572593906143243,6.56536776178271,167
167,01/10/09,9.640768300067851,4.58258368734939,6.585712508501591,6.572593906143243,168
168,01/01/10,9.645756373732798,4.584967478670572,6.589111387952417,6.585712508501591,169
169,01/04/10,9.655386897406826,4.592084946439436,6.5939969331138695,6.589111387952417,170
170,01/07/10,9.663088604477673,4.598145571051127,6.597658223776922,6.5939969331138695,171
171,01/10/10,9.668271103692053,4.603168183317418,6.599492314813775,6.597658223776922,172
172,01/01/11,9.665859036314018,4.6058366308643635,6.595301282404442,6.599492314813775,173
173,01/04/11,9.67261665957135,4.617098756853365,6.594550821669107,6.595301282404442,174
174,01/07/11,9.672228912780705,4.622682611400269,6.590440505180526,6.594550821669107,175
175,01/10/11,9.68338325301368,4.630837932736669,6.596157964522568,6.590440505180526,176
176,01/01/12,9.691529212860218,4.640537329825382,6.597837659643297,6.596157964522568,177
177,01/04/12,9.696077453782113,4.6434288981051814,6.600458188378659,6.597837659643297,178
178,01/07/12,9.697824756135876,4.6466319754758905,6.600070105818617,6.600458188378659,179
179,01/10/12,9.698922534031812,4.65173565545358,6.597765430396093,6.600070105818617,180
180,01/01/13,9.707562992997953,4.658710952916121,6.601755691053873,6.597765430396093,181
181,01/04/13,9.708955874685364,4.662495252607361,6.600625706280457,6.601755691053873,182
182,01/07/13,9.716841237441809,4.664696164988047,6.607043794116445,6.600625706280457,183
183,01/10/13,9.723927778506837,4.671581951819258,6.609539810627332,6.607043794116445,184
184,01/01/14,9.72042053795755,4.673140312115929,6.604993663213597,6.609539810627332,185
185,01/04/14,9.73318007678534,4.6845973199272954,6.61011519683381,6.604993663213597,186
186,01/07/14,9.74476235889015,4.690430029938915,6.61780900559754,6.61011519683381,187
187,01/10/14,9.749242243231642,4.698356901017884,6.61700430921972,6.61780900559754,188
188,01/01/15,9.757342483786736,4.702901674783724,6.6220747005975875,6.61700430921972,189
189,01/04/15,9.7631257427765,4.704412020335899,6.626851062552568,6.6220747005975875,190
190,01/07/15,9.766354252252142,4.710730681348644,6.625867131353047,6.626851062552568,191
191,01/10/15,9.76781552753494,4.717307686222915,6.622943736719664,6.625867131353047,192
192,01/01/16,9.773690037449436,4.718201208247845,6.628222565284206,6.622943736719664,193
193,01/04/16,9.7767093627625,4.720580037201919,6.629656004627887,6.628222565284206,194
194,01/07/16,9.78270252164766,4.725911803388799,6.632094652721795,6.629656004627887,195
195,01/10/16,9.787659105426386,4.730039168033961,6.634299660070412,6.632094652721795,196
196,01/01/17,9.79236731481258,4.733270188908662,6.636853855540139,6.634299660070412,197
197,01/04/17,9.797949354427043,4.74115689547863,6.637178090774624,6.636853855540139,198
198,01/07/17,9.80511511881461,4.744642231564625,6.642020297771527,6.637178090774624,199
199,01/10/17,9.81447517487933,4.751000634199631,6.647141418746243,6.642020297771527,200
200,01/01/18,9.822074765065086,4.754738956023211,6.652248794382945,6.647141418746243,201
201,01/04/18,9.830379295884912,4.763597422867105,6.654647680640176,6.652248794382945,202
202,01/07/18,9.835187244742997,4.7667219810120525,6.657372590734962,6.654647680640176,203
203,01/10/18,9.837416177177571,4.767572441729748,6.65903454935774,6.657372590734962,204
