,year,gdp,cpi,stir,inf
2595,1949,5.607546866775375,19.251911322559113,1.63,-0.9856414143358361
2596,1950,5.703205641653362,19.45675473168228,1.63,1.0583951461735186
2597,1951,5.849076910613079,21.00184005115405,2.17,7.641575861816685
2598,1952,5.9062905719703265,21.481604877784626,2.48,2.2586926461889867
2599,1953,5.9641395979577245,21.644671012678725,3.06,0.7562299718691268
2600,1954,5.967553441561414,21.7228349451073,3.05,0.36047273340340524
2601,1955,6.053213242798947,21.66690730380065,1.78,-0.2577921387913129
2602,1956,6.107808770392322,21.986301303551897,2.73,1.463350390459217
2603,1957,6.1612895967914,22.73222779664185,3.11,3.336405295284006
2604,1958,6.176343248286264,23.352822467044604,1.57,2.6934208990340824
2605,1959,6.257004532861192,23.57046858923797,3.3,0.9276744155856775
2606,1960,6.2959705502348156,23.92220628516656,3.22,1.4812563332156081
2607,1961,6.331875445578559,24.178260546570517,1.96,1.064674407458055
2608,1962,6.4034433946784555,24.462615542129644,2.68,1.1692151040292753
2609,1963,6.457477411333391,24.769880655814394,3.18,1.2482369450000697
2610,1964,6.528630206205813,25.097360579609976,3.5,1.3134259021827521
2611,1965,6.609738655207289,25.49357085778242,4.07,1.5663612734157617
2612,1966,6.701240205028963,26.255669198961037,5.11,2.9455638052052535
2613,1967,6.756883550845676,26.986771497969702,4.22,2.746486621884392
2614,1968,6.846572188751243,28.132277404250573,5.66,4.157077778249674
2615,1969,6.925216933043254,29.661864702637363,8.22,5.294462480145068
2616,1970,6.9784960886014336,31.407076642206437,7.18,5.717103428633408
2617,1971,7.060347602345311,32.73451583948486,4.66,4.1396813189376935
2618,1972,7.153919802571816,33.805900775359305,4.43,3.2205314922135297
2619,1973,7.262190917547039,35.92171756696043,8.73,6.070669233850801
2620,1974,7.342936458517797,39.877082078647874,10.5,10.445971613739369
2621,1975,7.429463867869654,43.52248616863579,5.82,8.747595307231792
2622,1976,7.535516646220513,46.03586089241674,5.04,5.614294943593334
2623,1977,7.641000672195424,49.014176248746985,5.54,6.268889007852829
2624,1978,7.762850801285621,52.753916119252146,7.93,7.35284413609798
2625,1979,7.873724922829512,57.75644264780191,11.19,9.059689535222626
2626,1980,7.957634851830627,64.2243557352198,13.35,10.61476073946439
2627,1981,8.073104295959128,70.28802425467407,16.39,9.021892073398874
2628,1982,8.1148598741277,74.53259221829207,12.24,5.863507685047775
2629,1983,8.198099705698363,77.71601819100556,9.09,4.182488129166906
2630,1984,8.303408954755366,80.94997473471449,10.23,4.076997756271439
2631,1985,8.375394345961794,83.72915613946437,8.1,3.3755889798258387
2632,1986,8.429373706176891,85.19454269833248,6.8,1.7350121135238261
2633,1987,8.487808663987956,88.12531581606872,6.66,3.3822465907124233
2634,1988,8.563396775173663,91.3087417887822,7.57,3.5486686123303635
2635,1989,8.637919447103677,95.30065689742294,9.21,4.279017260117435
2636,1990,8.693353137749856,100.0,8.1,4.813348240916326
2637,1991,8.725528276624889,103.63820111167254,5.69,3.5735812469813943
2638,1992,8.782679807037294,106.21526023244061,3.52,2.456179336451658
2639,1993,8.833252640345556,108.89338049519958,3.02,2.49014511009511
2640,1994,8.893879603587461,111.16725618999494,4.21,2.066663680855907
2641,1995,8.94112002821774,113.84537645275392,5.83,2.380530108583745
2642,1996,8.996295551382898,116.87721071248107,5.3,2.6282721799194775
2643,1997,9.056903837086715,119.40373926225368,5.46,2.1386614955468453
2644,1998,9.111935277861512,121.02071753410816,5.35,1.3451232658108658
2645,1999,9.172707349774326,123.59777665487623,4.97,2.107080640210146
2646,2000,9.235261933965397,127.79181404749878,6.24,3.336993042284764
2647,2001,9.26689290230578,131.43001515917135,3.88,2.8072018778686925
2648,2002,9.299853600058112,133.50176856998488,1.67,1.564021963361828
2649,2003,9.346464924453535,136.533602829712,1.13,2.2456033437873835
2650,2004,9.41031600775849,140.22233451238003,1.35,2.6658507660390462
2651,2005,9.47551890344603,144.97220818595252,3.22,3.3312789800830522
2652,2006,9.533481934387321,149.67155128852957,4.97,3.1901178846378997
2653,2007,9.578578404980089,153.91611925214755,5.02,2.7964538627363034
2654,2008,9.596476200741346,159.82819605861545,1.92,3.769168985054172
2655,2009,9.578375780774495,159.27235977766546,0.16,-0.3483772327879109
2656,2010,9.61527547298873,161.89994946942898,0.18,1.6362857210479476
2657,2011,9.651338761986098,167.00353713996967,0.1,3.103644409753681
2658,2012,9.692581751065102,170.5406771096513,0.14,2.0958851020843383
2659,2013,9.728232032401246,173.06720565942393,0.11,1.4706147389696334
2660,2014,9.771512548110897,175.99797877716017,0.09,1.6792519669674988
2661,2015,9.810537485473409,176.30116220313286,0.13,0.17211708207733878
2662,2016,9.837082757659248,178.57503789792818,0.39,1.281521169286659
2663,2017,9.879165351334986,182.41536129358255,1.0,2.127739844728538
