DATE,GDPC1,AWHI
2012-04-01,16253.726,103.9000000000000000
2012-07-01,16282.151,104.2333333333333333
2012-10-01,16300.035,104.7666666666666667
2013-01-01,16441.485,105.5000000000000000
2013-04-01,16464.402,105.9000000000000000
2013-07-01,16594.743,106.1333333333333333
2013-10-01,16712.76,106.8666666666666667
2014-01-01,16654.247,107.0333333333333333
2014-04-01,16868.109,108.2666666666666667
2014-07-01,17064.616,108.9000000000000000
2014-10-01,17141.235,109.7666666666666667
2015-01-01,17280.647,110.2666666666666667
2015-04-01,17380.875,110.4333333333333333
2015-07-01,17437.08,111.1333333333333333
2015-10-01,17462.579,111.8666666666666667
2016-01-01,17565.465,111.9666666666666667
2016-04-01,17618.581,112.2333333333333333
2016-07-01,17724.489,112.8333333333333333
2016-10-01,17812.56,113.3000000000000000
2017-01-01,17896.623,113.6666666666666667
2017-04-01,17996.802,114.5666666666666667
2017-07-01,18126.226,114.9666666666666667
2017-10-01,18296.685,115.7000000000000000
2018-01-01,18436.262,116.1333333333333333
2018-04-01,18590.004,117.1666666666666667
2018-07-01,18679.599,117.5333333333333333
2018-10-01,18721.281,117.6333333333333333
2019-01-01,18833.195,118.0000000000000000
2019-04-01,18982.528,118.1000000000000000
2019-07-01,19112.653,118.4000000000000000
2019-10-01,19202.31,118.4333333333333333
2020-01-01,18951.992,118.5000000000000000
2020-04-01,17258.205,102.1666666666666667
2020-07-01,18560.774,109.8666666666666667
2020-10-01,18767.778,112.4333333333333333
2021-01-01,19055.655,113.3000000000000000
2021-04-01,19368.31,114.6666666666666667
2021-07-01,19478.893,116.1666666666666667
2021-10-01,19806.29,117.4333333333333333
2022-01-01,.,.
